gvkey,tic,conm,fyear,sale,cogs,xsga,oiadp,ni,at
011811,JKHY,HENRY (JACK) & ASSOCIATES,2024,2215.543,1096.239,409.384,510.016,381.816,2924.481
004036,DCI,DONALDSON CO INC,2024,3586.3,2225.3,712.0,550.5,414.0,2914.3
011796,LCII,LCI INDUSTRIES,2024,3741.208,2795.805,601.473,218.237,142.867,2894.739
186785,ARCO,ARCOS DORADOS HOLDINGS INC,2024,4470.162,3706.386,279.859,306.563,148.759,2892.654
061380,ERIE,ERIE INDEMNITY CO,2024,3795.115,3062.13,,676.455,600.314,2888.614
032372,CNR,CORE NATURAL RESOURCES INC,2024,2183.993,1475.562,95.944,388.961,286.405,2879.543
020185,SMG,SCOTTS MIRACLE-GRO CO,2024,3552.7,2552.0,545.1,375.0,-34.9,2871.9
185229,BWXT,BWX TECHNOLOGIES INC,2024,2703.654,1957.181,304.941,350.266,281.941,2869.924
026069,GPOR,GULFPORT ENERGY CORP,2024,958.131,824.3,42.558,-236.757,-261.386,2865.697
038646,PATH,UIPATH INC,2024,1429.664,228.763,1321.833,-137.843,-73.694,2865.27
136648,VC,VISTEON CORP,2024,3866.0,3240.0,207.0,324.0,274.0,2862.0
019753,MGNI,MAGNITE INC,2024,668.17,211.268,343.202,55.19,22.786,2854.768
002312,RHI,ROBERT HALF INC,2024,5795.837,3548.607,1952.486,241.474,251.598,2854.405
042950,KNF,KNIFE RIVER CORP,2024,2899.005,2192.305,242.135,327.694,201.678,2851.202
001004,AIR,AAR CORP,2024,2767.0,2183.9,293.8,234.1,12.5,2844.6
007866,NYT,NEW YORK TIMES CO  -CL A,2024,2585.919,1309.514,833.287,360.182,293.825,2841.479
179077,FOR,FORESTAR GROUP INC,2024,1509.4,1149.0,118.5,240.8,203.4,2840.1
022983,XHR,XENIA HOTELS & RESORTS INC,2024,1039.047,917.805,36.245,84.997,16.143,2831.616
003863,DLX,DELUXE CORP,2024,2121.761,827.887,909.168,219.162,52.802,2831.036
012181,RGEN,REPLIGEN CORP,2024,634.439,245.27,272.032,47.463,-25.514,2829.666
006932,MGEE,MGE ENERGY INC,2024,676.944,422.101,,146.262,120.569,2827.959
142814,SYNA,SYNAPTICS INC,2024,959.4,427.7,496.5,-74.0,125.6,2825.0
031252,MGY,MAGNOLIA OIL & GAS CORP,2024,1315.886,292.575,90.107,511.988,366.027,2820.835
009225,ROL,ROLLINS INC,2024,3388.708,1603.197,1014.018,658.273,466.379,2819.695
043589,ULS,UL SOLUTIONS INC,2024,2870.0,1319.0,918.0,461.0,326.0,2800.0
175900,SBH,SALLY BEAUTY HOLDINGS INC,2024,3717.031,1826.699,1465.985,314.609,153.414,2792.899
028903,EFXT,ENERFLEX LTD,2024,2414.0,1773.0,279.0,191.0,32.0,2791.0
165846,CLMT,CALUMET INC,2024,4189.4,3809.6,220.7,10.1,-222.0,2758.2
029082,CBL,CBL & ASSOCIATES PPTYS INC,2024,554.206,317.431,67.254,169.521,58.97,2747.191
003905,CVSA,COVISTA INC,2024,1584.652,658.872,577.973,272.487,136.777,2741.417
030260,SSD,SIMPSON MANUFACTURING INC,2024,2232.139,1146.497,565.717,435.341,322.224,2736.168
